"Date","DAILY_AQI_VALUE","Site Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,24,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,67,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,71,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,28,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,16,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,21,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,16,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,21,"Taylorsville Liledoun","PM2.5","Alexander",35.9138000008966,-81.191
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,28,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,37,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,38,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,41,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,39,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,34,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,45,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,43,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,48,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,51,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,42,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
NA,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
